"Comment","User","ReplyCount","LikeCount","PublishTime","CommentId","ParentID","ReplyToAnotherUser","VideoID","sentimentQDAP.WordCount","sentimentQDAP.SentimentGI","sentimentQDAP.NegativityGI","sentimentQDAP.PositivityGI","sentimentQDAP.SentimentHE","sentimentQDAP.NegativityHE","sentimentQDAP.PositivityHE","sentimentQDAP.SentimentLM","sentimentQDAP.NegativityLM","sentimentQDAP.PositivityLM","sentimentQDAP.RatioUncertaintyLM","sentimentQDAP.SentimentQDAP","sentimentQDAP.NegativityQDAP","sentimentQDAP.PositivityQDAP","Sentiment.WordCount","Sentiment.SentimentGI","Sentiment.NegativityGI","Sentiment.PositivityGI","Sentiment.SentimentHE","Sentiment.NegativityHE","Sentiment.PositivityHE","Sentiment.SentimentLM","Sentiment.NegativityLM","Sentiment.PositivityLM","Sentiment.RatioUncertaintyLM","Sentiment.SentimentQDAP","Sentiment.NegativityQDAP","Sentiment.PositivityQDAP"
"humor is awesome!!!","Nikolay Matvienko","1","0","2022-08-13T10:53:46Z","Ugyiu6UbCMB2iJ_TLYx4AaABAg","None","FALSE","-UdWguw90g4", 2.00000000, 0.50000000, 0.00000000, 0.50000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 1.00000000, 2,positive,0.00000000,0.50000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,positive,0.00000000,1.00000000
"4:58 its dark....","Rishabh","2","0","2022-08-12T06:49:26Z","UgxEea_N6IDCzrfv7b54AaABAg","None","FALSE","-UdWguw90g4", 1.00000000,-1.00000000, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000,-1.00000000, 1.00000000, 0.00000000, 1,negative,1.00000000,0.00000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,negative,1.00000000,0.00000000
"it is 1 year old!!","FirsfName Lastname","2","0","2022-08-10T15:53:11Z","Ugw8wmRKavKgzlmuzAh4AaABAg","None","FALSE","-UdWguw90g4", 2.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 2,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,neutral,0.00000000,0.00000000
"you are so funny laughing ","Hyped Boy","2","0","2022-08-10T13:00:19Z","UgwpZ-5hA7c_8wclSht4AaABAg","None","FALSE","-UdWguw90g4", 2.00000000, 0.50000000, 0.50000000, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000,-0.50000000, 0.50000000, 0.00000000, 2,positive,0.50000000,1.00000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,negative,0.50000000,0.00000000
"open an offshore account and tell the usa feds to go fk them selfs. that is what most people do now.","Zomak blah","2","0","2022-08-09T17:35:52Z","UgyE8LZmuE6qn_-BNvV4AaABAg","None","FALSE","-UdWguw90g4", 9.00000000, 0.11111111, 0.11111111, 0.22222222, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.11111111, 0.00000000, 0.11111111, 9,positive,0.11111111,0.22222222,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,positive,0.00000000,0.11111111
"get us update with profit you made!!","Marijo","2","0","2022-08-09T07:59:24Z","Ugy2pXmUqhAav_PrwAN4AaABAg","None","FALSE","-UdWguw90g4", 4.00000000, 0.00000000, 0.25000000, 0.25000000, 0.00000000, 0.00000000, 0.00000000, 0.25000000, 0.00000000, 0.25000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 4,neutral,0.25000000,0.25000000,neutral,0.00000000,0.00000000,positive,0.00000000,0.25000000,0.00000000,neutral,0.00000000,0.00000000
"did you ever get a chance to make a follow up video on this one? was really interesting and satisfying to watch this part.","KL Vines","2","0","2022-08-06T19:22:42Z","UgwkgUw8smJxKpL1MoJ4AaABAg","None","FALSE","-UdWguw90g4",12.00000000, 0.08333333, 0.16666667, 0.25000000, 0.00000000, 0.00000000, 0.00000000, 0.08333333, 0.00000000, 0.08333333, 0.00000000, 0.16666667, 0.00000000, 0.16666667,12,positive,0.16666667,0.25000000,neutral,0.00000000,0.00000000,positive,0.00000000,0.08333333,0.00000000,positive,0.00000000,0.16666667
"1% commision is robbery. also sec says wat? force to leverage? lolz i do what i like however i like, fuk sec also, fuk brokerz, we have blokchainz. dude idk how to e tongue sticking out lain, you know it is 2022, right?","Carriage Returned","2","0","2022-08-05T11:05:16Z","UgwxZO6w-xZVn5kkEZt4AaABAg","None","FALSE","-UdWguw90g4",25.00000000, 0.04000000, 0.12000000, 0.16000000, 0.00000000, 0.00000000, 0.00000000,-0.08000000, 0.08000000, 0.00000000, 0.00000000, 0.12000000, 0.04000000, 0.16000000,25,positive,0.12000000,0.16000000,neutral,0.00000000,0.00000000,negative,0.08000000,0.00000000,0.00000000,positive,0.04000000,0.16000000
"if anyone is wondering how to be saved, here you go lol hear the gospel romans 10:17 believe the gospel romans 1:16 repent of sins acts 17 smiley 0 confess christ romans 10:9-10 baptism mark 16:16 be baptized in water for the forgiveness of your sins and be added to the church of christ.","Rin","2","0","2022-08-03T05:41:23Z","UgzoIUNbDHriXgq9FI14AaABAg","None","FALSE","-UdWguw90g4",25.00000000, 0.12000000, 0.12000000, 0.24000000, 0.00000000, 0.00000000, 0.00000000,-0.04000000, 0.04000000, 0.00000000, 0.04000000, 0.00000000, 0.12000000, 0.12000000,25,positive,0.12000000,0.24000000,neutral,0.00000000,0.00000000,negative,0.04000000,0.00000000,0.04000000,neutral,0.12000000,0.12000000
" face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy ","Lukas Connolly","2","0","2022-08-02T23:08:50Z","Ugym2eXlhUQSxF7cfSh4AaABAg","None","FALSE","-UdWguw90g4",15.00000000, 0.00000000, 0.33333333, 0.33333333, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.33333333, 0.00000000, 0.33333333,15,neutral,0.33333333,0.33333333,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,positive,0.00000000,0.33333333
"great video","Offer Page™","1","0","2022-08-02T14:00:24Z","UgxaT7OnSFDwF8mxA1R4AaABAg","None","FALSE","-UdWguw90g4", 2.00000000, 0.50000000, 0.00000000, 0.50000000, 0.00000000, 0.00000000, 0.00000000, 0.50000000, 0.00000000, 0.50000000, 0.00000000, 0.50000000, 0.00000000, 0.50000000, 2,positive,0.00000000,0.50000000,neutral,0.00000000,0.00000000,positive,0.00000000,0.50000000,0.00000000,positive,0.00000000,0.50000000
"is there a follow up video on this?","Johan Jamal","2","1","2022-08-01T18:00:33Z","UgwRAYwpaxJPyNv-8MJ4AaABAg","None","FALSE","-UdWguw90g4", 2.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 2,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,neutral,0.00000000,0.00000000
"what's the music 3.23","Chandresh Singh","2","0","2022-07-31T03:51:47Z","UgwqZE-X-ur_AUpeyRZ4AaABAg","None","FALSE","-UdWguw90g4", 2.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 2,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,neutral,0.00000000,0.00000000
"you copied stockstream who did this originally. give some credit man","hello","1","0","2022-07-30T14:46:39Z","UgxzZATWL0X-Dn7D2nF4AaABAg","None","FALSE","-UdWguw90g4", 6.00000000, 0.66666667, 0.00000000, 0.66666667, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.16666667, 0.00000000, 0.16666667, 6,positive,0.00000000,0.66666667,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,positive,0.00000000,0.16666667
"today i learnt that stock trading sites have api","Pleyland","1","0","2022-07-30T10:44:59Z","UgwihDuI6Du0KI9b15F4AaABAg","None","FALSE","-UdWguw90g4", 6.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 6,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,neutral,0.00000000,0.00000000
"for those of you that don't trade that much.... i want to point out that this guy's tax return is going to be a nightmare just from this one day. kudos for this big sacrifice.","Bonan Zhang","1","0","2022-07-30T05:23:55Z","UgxZ8YJ19sHP5Ux2JsV4AaABAg","None","FALSE","-UdWguw90g4",15.00000000,-0.06666667, 0.20000000, 0.13333333, 0.00000000, 0.00000000, 0.00000000,-0.06666667, 0.06666667, 0.00000000, 0.00000000, 0.00000000, 0.13333333, 0.13333333,15,negative,0.20000000,0.13333333,neutral,0.00000000,0.00000000,negative,0.06666667,0.00000000,0.00000000,neutral,0.13333333,0.13333333
"the humor is just so big ahahaha","Dave Galido","1","0","2022-07-30T03:18:20Z","UgyCHkiDfAWBqAfh5xt4AaABAg","None","FALSE","-UdWguw90g4", 4.00000000, 0.50000000, 0.00000000, 0.50000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.50000000, 0.00000000, 0.50000000, 4,positive,0.00000000,0.50000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,positive,0.00000000,0.50000000
"dude i am your fan! you are hilarious and so smart, wanna be like you when i grow up","JJE Airborne","2","0","2022-07-29T23:37:23Z","UgzyqytPnO30PTdylGd4AaABAg","None","FALSE","-UdWguw90g4", 7.00000000, 0.42857143, 0.00000000, 0.42857143, 0.14285714, 0.00000000, 0.14285714, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.57142857, 0.00000000, 0.57142857, 7,positive,0.00000000,0.42857143,positive,0.00000000,0.14285714,neutral,0.00000000,0.00000000,0.00000000,positive,0.00000000,0.57142857
"what's the keyboard did you use?","IdentityLeaked","2","0","2022-07-29T04:53:03Z","Ugz717vVaQZ8ouAFOCx4AaABAg","None","FALSE","-UdWguw90g4", 3.00000000, 0.33333333, 0.00000000, 0.33333333, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.33333333, 0.00000000, 0.33333333, 3,positive,0.00000000,0.33333333,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,positive,0.00000000,0.33333333
"take love from bangladesh bro..","Abu Jamil Faisal Shuvo","1","0","2022-07-27T07:47:44Z","Ugx6oqk-q4I14-i2Vxd4AaABAg","None","FALSE","-UdWguw90g4", 4.00000000, 0.25000000, 0.00000000, 0.25000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.25000000, 0.00000000, 0.25000000, 4,positive,0.00000000,0.25000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,positive,0.00000000,0.25000000
"4:50 really started to hit home","Jeff Z","2","1","2022-07-26T02:19:46Z","UgyM2vowNRFPXcYaEGZ4AaABAg","None","FALSE","-UdWguw90g4", 4.00000000, 0.00000000, 0.50000000, 0.50000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 4,neutral,0.50000000,0.50000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,neutral,0.00000000,0.00000000
"bro, eres muy gracioso","Jason Cortés Segovia","1","0","2022-07-25T23:40:30Z","UgwRrleydtUCAKvfZyV4AaABAg","None","FALSE","-UdWguw90g4", 4.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 4,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,neutral,0.00000000,0.00000000
"5:01 continue with that. that's, to free associate is truly wonderful exercise.","7 2","1","0","2022-07-25T20:06:32Z","UgyU72PDIlQx7TNaEbV4AaABAg","None","FALSE","-UdWguw90g4", 7.00000000, 0.57142857, 0.00000000, 0.57142857, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.42857143, 0.00000000, 0.42857143, 7,positive,0.00000000,0.57142857,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,positive,0.00000000,0.42857143
"but can they compete with fish","PerfumedGnat965","2","0","2022-07-24T23:54:42Z","UgywHk8s0J9ua6YfAjl4AaABAg","None","FALSE","-UdWguw90g4", 3.00000000, 0.00000000, 0.33333333, 0.33333333, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 3,neutral,0.33333333,0.33333333,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,neutral,0.00000000,0.00000000
"have you ever thought that a lot of things made not comfy...there alsways something that not make feel good...like you flow and then just > beep..and some strange pause...or you flow and there not e tongue sticking out ectedly need to make something.. and there always something. have seen your previous video, there was diagram that you solved 1650 problems(or somethng like that), interesting is it possible to solve thousands of not comfy situations ? ^) )","Вадим Воробьев","1","0","2022-07-24T23:23:22Z","UgwZPSQ8WLOOBWCKUgx4AaABAg","None","FALSE","-UdWguw90g4",39.00000000, 0.05128205, 0.10256410, 0.15384615, 0.00000000, 0.00000000, 0.00000000, 0.05128205, 0.00000000, 0.05128205, 0.02564103, 0.10256410, 0.02564103, 0.12820513,39,positive,0.10256410,0.15384615,neutral,0.00000000,0.00000000,positive,0.00000000,0.05128205,0.02564103,positive,0.02564103,0.12820513
"genius idea. btw, the pattern day trade rule is only for margin accounts, if you had opened a cash account (tdameritrade offers this) then the rule wouldnt have applied","Pedro Peña","1","0","2022-07-24T21:59:42Z","UgzDGpSPorxZsKswhZ54AaABAg","None","FALSE","-UdWguw90g4",17.00000000, 0.23529412, 0.05882353, 0.29411765, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.05882353, 0.05882353, 0.11764706,17,positive,0.05882353,0.29411765,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,positive,0.05882353,0.11764706
"i need coder asap","Jonathan Duaz","1","0","2022-07-24T17:57:14Z","Ugw0aUywswh7Uo_T_g94AaABAg","None","FALSE","-UdWguw90g4", 3.00000000,-0.33333333, 0.33333333, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 3,negative,0.33333333,0.00000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,neutral,0.00000000,0.00000000
"it was cool ! haha","William Mbollo Mbassy","2","0","2022-07-22T12:39:10Z","Ugw7N14QcvPWTIhMO8Z4AaABAg","None","FALSE","-UdWguw90g4", 2.00000000,-0.50000000, 0.50000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.50000000, 0.00000000, 0.50000000, 2,negative,0.50000000,0.00000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,positive,0.00000000,0.50000000
"interactive broker also allows your trade stocks for cents, so 1 cent = 1 share. other platforms like robinhood or webull should also be commission free.","EZprogramming","1","0","2022-07-17T07:24:43Z","UgyTazeRyqLI3s8kIdF4AaABAg","None","FALSE","-UdWguw90g4",16.00000000, 0.31250000, 0.00000000, 0.31250000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.12500000, 0.00000000, 0.12500000,16,positive,0.00000000,0.31250000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,positive,0.00000000,0.12500000
"you okay man?","smokey烟","3","0","2022-07-14T01:52:58Z","UgyrGe3sWeIvSq3OzW54AaABAg","None","FALSE","-UdWguw90g4", 2.00000000, 0.50000000, 0.00000000, 0.50000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 2,positive,0.00000000,0.50000000,neutral,0.00000000,0.00000000,neutral,0.00000000,0.00000000,0.00000000,neutral,0.00000000,0.00000000
